time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,train/approx_kl,train/explained_variance,train/clip_fraction,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,train/loss
122880,26.8,-25.797441390000003,60,3,36439,0.0002672357,0.05212658643722534,0.0,72.378357732296,1e-05,-0.0023748133455228524,590,0.2,-3.741320423781872,29.171789169311523
124928,27.06,-26.057415629999994,61,3,37274,0.00038691648,0.09183424711227417,0.0,70.58574099540711,1e-05,-0.0032595947159279604,600,0.2,-3.7373952962458135,33.246707916259766
126976,27.06,-26.05741562,62,3,38126,0.00021995505,0.08063477277755737,0.0,74.74291951656342,1e-05,-0.0023505820870923346,610,0.2,-3.730932145565748,28.990427017211914
129024,26.58,-25.57746319,63,3,38972,0.00033406817,0.08216345310211182,0.0,70.77190427780151,1e-05,-0.003039382524730172,620,0.2,-3.7180945575237274,36.514060974121094
131072,26.6,-25.597461250000002,64,3,39827,0.00059483066,0.08824849128723145,0.0,70.78688477277755,1e-05,-0.0036853047262411565,630,0.2,-3.716244192421436,37.74440383911133
133120,25.3,-24.297590199999995,65,3,40705,0.00019400238,0.10891509056091309,0.0,66.2406176328659,1e-05,-0.001976142221246846,640,0.2,-3.7016346462070944,33.68109893798828
135168,25.14,-24.137606069999997,66,3,41583,0.0002865325,0.10368078947067261,0.0,63.03822807073593,1e-05,-0.0026457581465365366,650,0.2,-3.6937111638486386,37.50507736206055
137216,23.08,-22.077810340000006,67,3,42500,0.0002193031,0.09267532825469971,0.0,64.95980384349824,1e-05,-0.0022589457905269226,660,0.2,-3.692586237192154,33.30199432373047
139264,23.81,-22.807737939999996,68,3,43392,0.00026285,0.12757843732833862,0.0,52.974658167362215,1e-05,-0.002288838346430566,670,0.2,-3.6782175272703173,32.59457778930664
141312,23.72,-22.71774685999999,69,3,44296,0.00029091607,0.1219034194946289,0.0,58.72512241601944,1e-05,-0.002610793110943632,680,0.2,-3.671982952952385,34.38603973388672
143360,23.87,-22.86773202,70,3,45199,0.00016113475,0.12015390396118164,0.0,56.773484122753146,1e-05,-0.0017391007357218768,690,0.2,-3.6679605402052404,29.807016372680664
145408,22.91,-21.90782721,71,3,46116,0.00027370054,0.12706130743026733,0.0,56.241282320022584,1e-05,-0.002127695739909541,700,0.2,-3.6590513944625855,30.120515823364258
147456,22.57,-21.567860909999993,72,3,47045,0.00031455045,0.12941265106201172,0.0,52.10620890855789,1e-05,-0.0024120214991853574,710,0.2,-3.6536824464797975,25.197603225708008
149504,23.36,-22.357782559999997,73,3,47955,0.0002973544,0.1274915337562561,0.0,48.87123740911484,1e-05,-0.002051016212499235,720,0.2,-3.642051841318607,18.276857376098633
151552,22.62,-21.617855939999995,74,3,48881,0.00034442736,0.13226467370986938,0.0,51.898805546760556,1e-05,-0.002672430773964152,730,0.2,-3.6422300770878793,23.222530364990234
153600,22.59,-21.587858970000003,75,3,49809,0.0001621568,0.13731473684310913,0.0,48.00550612211227,1e-05,-0.0014953268037061207,740,0.2,-3.6350097499787806,26.19211769104004
155648,23.38,-22.377780549999997,76,3,50716,0.00021678396,0.1350434422492981,0.0,47.040827822685245,1e-05,-0.0017975281363760587,750,0.2,-3.6311292327940463,25.27433967590332
157696,22.46,-21.457871830000002,77,3,51647,0.00028871678,0.1198229193687439,0.0,52.06834530830383,1e-05,-0.002368747643777169,760,0.2,-3.6313193172216414,23.810989379882812
159744,22.0,-20.99791746,78,3,52592,0.00029075608,0.15132862329483032,0.0,47.789257442951204,1e-05,-0.0021209933402133174,770,0.2,-3.6132802560925485,27.015350341796875
161792,21.24,-20.23799284,79,3,53548,0.00031374607,0.16391676664352417,0.0,44.1320898771286,1e-05,-0.0023886303388280794,780,0.2,-3.6110303521156313,22.92399024963379
163840,22.57,-21.567860959999997,80,3,54481,0.00020686915,0.1692749261856079,0.0,41.491832214593884,1e-05,-0.0016777549310063478,790,0.2,-3.6028823435306547,19.12850570678711
165888,21.9,-20.89792735,81,2,55417,0.00021707502,0.17115098237991333,0.0,43.75791143774986,1e-05,-0.0017918193247169257,800,0.2,-3.605002883821726,26.925006866455078
167936,21.23,-20.2279938,82,2,56372,0.00034994778,0.16725510358810425,0.0,42.77206646800041,1e-05,-0.002350940395263024,810,0.2,-3.595753740519285,20.375505447387695
169984,21.16,-19.7913063,83,2,57329,0.0002811193,0.17547452449798584,0.0,40.22115570306778,1e-05,-0.0022652033825579566,820,0.2,-3.587801665812731,19.085453033447266
172032,20.9,-19.898010890000002,84,2,58287,0.00020808168,0.16697609424591064,0.0,36.97730156779289,1e-05,-0.0017244293820112943,830,0.2,-3.5812998212873937,15.951128959655762
174080,20.75,-19.748041349999998,85,2,59264,0.0002902255,0.20186299085617065,0.0,38.322684741020204,1e-05,-0.002386299063800834,840,0.2,-3.5771415680646896,17.883411407470703
176128,20.87,-19.868029489999998,86,2,60224,0.0005415358,0.22013837099075317,0.0,35.08462458252907,1e-05,-0.0027199657444725743,850,0.2,-3.5680212289094926,15.482564926147461
178176,21.43,-20.42797395,87,2,61177,0.00021624556,0.21144157648086548,0.0,36.413721680641174,1e-05,-0.002040466546895914,860,0.2,-3.5688454397022724,20.841421127319336
