,0
375,-0.9408874118687268
376,-0.9119215051751063
377,-0.9529257800132619
378,-0.9723873019805175
379,-0.9889363528682975
380,-0.9958932064677039
381,-0.9990561583550596
382,-0.9988681377244376
383,-0.9992611746313143
384,-0.9989685402102996
385,-0.9988681377244376
386,-0.9954954725939522
387,-0.9987523388778446
388,-0.9987523388778446
389,-0.9429903335828895
390,-0.9701425001453319
391,-0.9444967967061592
392,-0.8944271909999159
393,-0.8944271909999159
394,-0.9119215051751063
395,-0.9284766908852593
396,-0.9438583563660173
397,-0.9751328557914597
398,-0.9889363528682975
399,1.0
400,1.0
401,0.0
402,-0.9989685402102996
403,1.0
404,-0.9986178293325098
405,-0.9982743731749959
406,-0.9982743731749959
407,-0.9734171683335759
408,-0.9544799780350296
409,-0.9284766908852593
410,-0.8823529411764705
411,-0.8682431421244591
412,-0.8682431421244591
413,-0.8837879163470618
414,-0.916157334902189
415,-0.9701425001453319
416,-0.9931506043228762
417,-0.9977851578566089
418,1.0
419,-0.9977851578566089
420,-0.9977851578566089
421,-0.9912279006826347
422,-0.9977851578566089
423,-0.9912279006826347
424,-0.9805806756909201
425,-0.9544799780350296
426,-0.9486832980505138
427,-0.9191450300180579
428,-0.8944271909999159
429,-0.8715755371245492
430,-0.8823529411764705
431,-0.8823529411764705
432,-0.9429903335828895
433,-0.9828721869343219
434,-0.9931506043228762
435,-0.9980525784828885
436,-0.9977851578566089
437,-0.9984603532054124
438,-0.9984603532054124
439,1.0
440,-0.994505452921406
441,-0.9828721869343219
442,-0.9246780984747159
443,-0.9383431168171101
444,-0.9061831399952655
445,-0.8944271909999159
446,-0.8682431421244591
447,-0.8823529411764705
448,-0.8944271909999159
449,-0.8944271909999159
450,-0.9363291775690444
451,-0.9778024140774094
452,-0.9778024140774094
453,-0.9912279006826347
454,-0.9847835588179368
455,-0.9931506043228762
456,-0.9847835588179368
457,-0.994505452921406
458,-0.9912279006826347
459,-0.9931506043228762
460,-0.9847835588179368
461,-0.987762965329069
462,-0.9734171683335759
463,-0.9486832980505138
