time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/entropy_loss,train/n_updates,train/learning_rate,train/loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/explained_variance
131,4,59881,268288,29.220553440000003,186.35,4.595193815976382,-4.574993035197258,1300,1e-05,2.6121256351470947,0.0002625623,-0.0031107031423744046,0.0,0.2,0.006772041320800781
132,4,60346,270336,27.919987770000002,187.12,4.156288393586874,-4.575239253044129,1310,1e-05,2.6021034717559814,0.00018597775,-0.002568898500612704,0.0,0.2,0.08649897575378418
133,4,60803,272384,26.77146274,186.33,3.7856219414621592,-4.575908097624779,1320,1e-05,3.1047229766845703,0.0002140894,-0.002710918537195539,0.0,0.2,0.04684257507324219
134,4,61282,274432,25.069020249999998,185.6,5.194142027944326,-4.577453432977199,1330,1e-05,1.5044832229614258,0.00013491046,-0.0023099457335774786,0.0,0.2,-0.025800108909606934
135,4,61754,276480,23.91865791,186.36,3.7136113971471785,-4.576803594827652,1340,1e-05,1.0859503746032715,0.00016499049,-0.002613239955098834,0.0,0.2,0.18484294414520264
136,4,62219,278528,23.83933698,186.33,4.800872931629419,-4.57621468603611,1350,1e-05,1.6345781087875366,0.00018996856,-0.002833179612207459,0.0,0.2,0.25163453817367554
137,4,62684,280576,23.4993405,185.83,5.430306987464428,-4.577389405667782,1360,1e-05,1.8994693756103516,8.859692e-05,-0.0018036701338132843,0.0,0.2,0.12007462978363037
138,4,63151,282624,23.7951507,187.61,4.29643797725439,-4.576297111809254,1370,1e-05,2.6216142177581787,0.00016714347,-0.0025381810970429796,0.0,0.2,0.11180305480957031
139,4,63614,284672,23.96891209,186.33,4.17537060007453,-4.575079406797886,1380,1e-05,2.1625618934631348,0.00017838567,-0.0026199527070275507,0.0,0.2,0.06602543592453003
140,4,64085,286720,24.29144451,184.75,4.487201093882322,-4.572897467017174,1390,1e-05,1.453063726425171,0.00011426673,-0.0020485174738496424,0.0,0.2,0.06306171417236328
141,4,64545,288768,24.56018934,186.33,5.36733880341053,-4.573042975366116,1400,1e-05,2.964031934738159,0.00014223822,-0.002162776148179546,0.0,0.2,0.10889464616775513
142,4,65008,290816,24.18163982,186.33,4.6576904758810995,-4.573303456604481,1410,1e-05,2.716674327850342,0.0001648877,-0.002746220916014863,0.0,0.2,0.1231352686882019
143,4,65470,292864,24.775561759999995,186.71,4.115637531504035,-4.573457479476929,1420,1e-05,2.4740750789642334,0.00013446787,-0.0020462649918044917,0.0,0.2,0.1765804886817932
144,4,65932,294912,24.45769628,187.5,5.137353380024433,-4.573015455901623,1430,1e-05,3.7422587871551514,0.0001334787,-0.002123275322082918,0.0,0.2,0.1881697177886963
145,4,66381,296960,23.740343149999998,186.33,4.150403515994549,-4.572684842348099,1440,1e-05,1.5941659212112427,0.00014041257,-0.0023917483835248277,0.0,0.2,0.13987797498703003
146,4,66837,299008,23.984367549999998,186.33,4.487314908951521,-4.570198351144791,1450,1e-05,2.3566856384277344,0.00017670632,-0.0024285279811010695,0.0,0.2,0.16812318563461304
147,4,67299,301056,24.624230280000006,186.33,5.106608901172876,-4.569481647014618,1460,1e-05,2.611259698867798,0.00016284184,-0.0023620013271283824,0.0,0.2,0.28838181495666504
148,4,67765,303104,24.563127920000003,186.33,3.8883922785520553,-4.572386583685875,1470,1e-05,1.4682308435440063,0.00019239794,-0.0028820646439271513,0.0,0.2,0.2633921504020691
149,4,68222,305152,24.35138864,187.91,4.112692306935787,-4.572499233484268,1480,1e-05,1.3911879062652588,0.0001519564,-0.0023417590266035402,0.0,0.2,0.2031140923500061
150,4,68684,307200,24.24991119,186.33,4.773118039220572,-4.57202845364809,1490,1e-05,2.781764507293701,0.00018659269,-0.0027538472990272568,0.0,0.2,0.1529620885848999
151,4,69130,309248,24.421061650000002,186.33,4.287075072526932,-4.573619861900807,1500,1e-05,2.322601556777954,0.00014782502,-0.00233286606890033,0.0,0.2,0.08680194616317749
152,4,69582,311296,24.17234725,186.68,4.6588540486991405,-4.571511615812779,1510,1e-05,2.7706234455108643,0.00015215576,-0.0022958751978876535,0.0,0.2,0.054157376289367676
